,sigma,optimizer,seed,r
673,100.0,cobyla,37,1.0
674,100.0,rmsprop,38,0.49301844553498975
675,100.0,cobyla,38,0.8861402656454671
676,100.0,rmsprop,39,0.5900666864840981
677,100.0,cobyla,39,0.8570724709846838
678,100.0,rmsprop,40,1.0
679,100.0,cobyla,40,0.9927398702621041
680,100.0,rmsprop,41,0.9651918227067977
681,100.0,cobyla,41,0.8834024394066561
682,100.0,rmsprop,42,0.810715272775854
683,100.0,cobyla,42,1.0
684,100.0,rmsprop,43,1.0
685,100.0,cobyla,43,1.0
686,100.0,rmsprop,44,1.0
687,100.0,cobyla,44,0.7891822390256844
688,100.0,rmsprop,45,1.0
689,100.0,cobyla,45,0.8775604629638671
690,100.0,rmsprop,46,0.7568570712958612
691,100.0,cobyla,46,0.9916569615507681
692,100.0,rmsprop,47,0.4807839102018501
693,100.0,cobyla,47,0.752722337670329
694,100.0,rmsprop,48,1.0
695,100.0,cobyla,48,0.934064347036802
696,100.0,rmsprop,49,0.8440526012402122
697,100.0,cobyla,49,0.9211141345073185
698,100.0,rmsprop,50,1.0
699,100.0,cobyla,50,0.9746120404537205
700,100.0,rmsprop,51,0.32656380162097526
701,100.0,cobyla,51,1.0
702,100.0,rmsprop,52,0.9657011740183843
703,100.0,cobyla,52,0.8109041225682719
704,100.0,rmsprop,53,1.0
705,100.0,cobyla,53,0.9623130329796106
706,100.0,rmsprop,54,1.0
707,100.0,cobyla,54,0.943790477447487
708,100.0,rmsprop,55,0.9077579076309317
709,100.0,cobyla,55,0.8621494139213207
710,100.0,rmsprop,56,0.9852426622626799
711,100.0,cobyla,56,0.9536684639100923
712,100.0,rmsprop,57,0.43282143774213994
713,100.0,cobyla,57,0.9169625532447806
714,100.0,rmsprop,58,0.7174512439644938
715,100.0,cobyla,58,1.0
716,100.0,rmsprop,59,1.0
717,100.0,cobyla,59,0.9867345985394326
718,100.0,rmsprop,60,0.9854654896365109
719,100.0,cobyla,60,0.9288642359526923
720,100.0,rmsprop,61,0.5340648604790403
